,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
2526,25-29,urban,5,bottled water or sachets,5.0,pit latrine with slab,yes,yes,37.0,0,0,3
2527,30-34,urban,5,piped to yard/plot,0.0,no facility/bush/field,no,no,37.0,0,0,2
2528,15-19,urban,5,piped to yard/plot,0.0,no facility/bush/field,no,no,37.0,0,0,0
2529,40-44,urban,4,public tap/standpipe,15.0,pit latrine with slab,no,yes,64.0,0,0,5
2530,40-44,urban,9,public tap/standpipe,10.0,pit latrine with slab,yes,yes,46.0,0,0,5
2531,20-24,urban,9,public tap/standpipe,10.0,pit latrine with slab,yes,yes,46.0,0,0,0
2532,20-24,urban,9,public tap/standpipe,10.0,pit latrine with slab,yes,yes,46.0,0,0,0
2533,15-19,urban,9,public tap/standpipe,10.0,pit latrine with slab,yes,yes,46.0,0,0,0
2534,30-34,urban,11,public tap/standpipe,5.0,pit latrine with slab,no,yes,66.0,0,0,2
2535,40-44,urban,11,public tap/standpipe,5.0,pit latrine with slab,no,yes,66.0,0,0,4
2536,15-19,urban,11,public tap/standpipe,5.0,pit latrine with slab,no,yes,66.0,0,0,0
2537,20-24,urban,4,public tap/standpipe,10.0,pit latrine with slab,no,yes,61.0,0,0,1
2538,25-29,urban,5,piped to yard/plot,0.0,no facility/bush/field,no,yes,38.0,0,0,3
2539,30-34,urban,4,piped to yard/plot,0.0,no facility/bush/field,no,no,45.0,0,0,4
2540,25-29,urban,3,public tap/standpipe,5.0,no facility/bush/field,yes,yes,29.0,0,0,2
2541,15-19,urban,5,public tap/standpipe,20.0,pit latrine with slab,yes,yes,76.0,0,0,0
2542,45-49,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,48.0,0,0,3
2543,25-29,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,48.0,0,0,1
2544,20-24,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,48.0,0,0,0
2545,15-19,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,48.0,0,0,0
2546,25-29,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,54.0,0,0,0
2547,35-39,urban,5,piped to yard/plot,0.0,pit latrine with slab,yes,yes,54.0,0,0,2
2548,30-34,urban,4,public tap/standpipe,10.0,pit latrine with slab,no,yes,35.0,1,0,4
2549,20-24,urban,4,public tap/standpipe,10.0,pit latrine with slab,no,yes,35.0,0,0,0
2550,25-29,urban,4,public tap/standpipe,10.0,hanging toilet/latrine,no,yes,50.0,1,0,2
2551,20-24,urban,4,public tap/standpipe,10.0,hanging toilet/latrine,no,yes,50.0,0,0,0
2552,25-29,urban,4,public tap/standpipe,10.0,hanging toilet/latrine,no,yes,50.0,0,0,1
2553,45-49,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,49.0,0,1,4
2554,20-24,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,49.0,0,0,0
2555,25-29,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,49.0,0,0,0
2556,35-39,urban,3,public tap/standpipe,10.0,pit latrine with slab,no,yes,47.0,0,0,3
2557,15-19,urban,3,public tap/standpipe,10.0,pit latrine with slab,no,yes,47.0,0,0,0
2558,35-39,urban,2,bottled water or sachets,15.0,no facility/bush/field,no,no,38.0,0,0,1
2559,45-49,urban,12,piped to yard/plot,0.0,pit latrine with slab,yes,yes,55.0,0,0,3
2560,30-34,urban,12,piped to yard/plot,0.0,pit latrine with slab,yes,yes,55.0,0,1,3
2561,25-29,urban,12,piped to yard/plot,0.0,pit latrine with slab,yes,yes,55.0,0,0,0
2562,20-24,urban,12,piped to yard/plot,0.0,pit latrine with slab,yes,yes,55.0,0,0,3
2563,15-19,urban,14,public tap/standpipe,25.0,pit latrine with slab,no,yes,76.0,0,0,0
2564,20-24,urban,14,public tap/standpipe,25.0,pit latrine with slab,no,yes,76.0,0,0,0
2565,15-19,urban,14,public tap/standpipe,25.0,pit latrine with slab,no,yes,76.0,0,0,0
2566,30-34,urban,4,public tap/standpipe,10.0,pit latrine with slab,yes,no,34.0,0,0,2
2567,20-24,urban,4,public tap/standpipe,10.0,pit latrine with slab,yes,no,34.0,0,0,1
2568,15-19,urban,4,public tap/standpipe,10.0,pit latrine with slab,yes,no,34.0,0,0,0
2569,35-39,urban,7,piped to yard/plot,0.0,pit latrine with slab,yes,yes,37.0,0,0,4
2570,20-24,urban,7,piped to yard/plot,0.0,pit latrine with slab,yes,yes,37.0,1,0,1
2571,15-19,urban,6,public tap/standpipe,10.0,hanging toilet/latrine,no,yes,26.0,0,0,1
2572,25-29,urban,3,public tap/standpipe,15.0,pit latrine with slab,no,yes,29.0,0,0,1
2573,40-44,urban,6,public tap/standpipe,5.0,pit latrine with slab,yes,yes,45.0,0,0,4
2574,20-24,urban,6,public tap/standpipe,5.0,pit latrine with slab,yes,yes,45.0,0,0,0
2575,40-44,urban,17,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,0,0,2
2576,40-44,urban,17,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,0,0,2
2577,30-34,urban,17,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,0,0,0
2578,35-39,urban,17,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,0,0,1
2579,15-19,urban,17,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,0,0,0
2580,35-39,urban,17,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,0,0,4
2581,35-39,urban,5,public tap/standpipe,15.0,pit latrine without slab/open pit,yes,yes,38.0,0,0,2
2582,15-19,urban,5,public tap/standpipe,15.0,pit latrine without slab/open pit,yes,yes,38.0,0,0,0
2583,40-44,urban,5,public tap/standpipe,20.0,pit latrine with slab,no,no,72.0,0,0,5
2584,20-24,urban,5,public tap/standpipe,20.0,pit latrine with slab,no,no,72.0,0,0,0
2585,25-29,urban,6,piped to yard/plot,0.0,pit latrine with slab,yes,yes,63.0,0,0,0
2586,35-39,urban,5,public tap/standpipe,30.0,ventilated improved pit latrine (vip),no,yes,37.0,0,0,5
2587,25-29,rural,4,protected well,20.0,pit latrine without slab/open pit,no,yes,55.0,2,0,4
2588,25-29,rural,4,unprotected spring,30.0,pit latrine without slab/open pit,no,yes,65.0,1,0,2
2589,45-49,rural,5,tube well or borehole,15.0,pit latrine without slab/open pit,no,no,51.0,1,1,5
2590,35-39,rural,5,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,40.0,1,2,5
2591,40-44,rural,5,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,58.0,0,1,5
2592,15-19,rural,5,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,58.0,0,0,0
2593,45-49,rural,8,protected well,15.0,pit latrine without slab/open pit,no,yes,67.0,0,2,4
2594,30-34,rural,8,tube well or borehole,5.0,pit latrine without slab/open pit,no,yes,55.0,2,2,6
2595,40-44,rural,7,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,42.0,3,2,8
2596,25-29,rural,7,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,42.0,0,1,3
2597,20-24,rural,5,unprotected well,20.0,pit latrine without slab/open pit,no,yes,27.0,0,0,3
2598,20-24,rural,4,tube well or borehole,5.0,pit latrine without slab/open pit,no,yes,29.0,1,0,2
2599,30-34,rural,8,tube well or borehole,5.0,pit latrine without slab/open pit,no,yes,35.0,1,0,2
2600,15-19,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,no,43.0,0,0,0
2601,15-19,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,no,43.0,0,0,0
2602,30-34,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,yes,32.0,3,0,6
2603,20-24,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,21.0,pit latrine without slab/open pit,no,yes,35.0,0,0,1
2604,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,60.0,0,2,8
2605,40-44,rural,3,unprotected spring,20.0,pit latrine without slab/open pit,no,no,43.0,0,2,7
2606,20-24,rural,6,protected well,15.0,pit latrine without slab/open pit,no,yes,34.0,0,0,1
2607,30-34,rural,6,protected well,15.0,pit latrine without slab/open pit,no,yes,34.0,0,1,3
2608,35-39,rural,6,unprotected well,30.0,pit latrine without slab/open pit,no,no,35.0,0,2,7
2609,35-39,rural,7,protected well,12.0,pit latrine without slab/open pit,no,no,40.0,5,2,12
2610,25-29,rural,7,unprotected spring,15.0,pit latrine without slab/open pit,no,yes,32.0,0,1,8
2611,25-29,rural,6,unprotected spring,20.0,pit latrine without slab/open pit,no,no,80.0,2,0,6
2612,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,28.0,0,1,2
2613,30-34,rural,8,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,33.0,0,3,8
2614,45-49,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,no,52.0,1,0,6
2615,30-34,rural,10,protected well,15.0,ventilated improved pit latrine (vip),no,yes,44.0,1,0,8
2616,25-29,rural,6,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,31.0,0,0,4
2617,30-34,rural,14,tube well or borehole,20.0,pit latrine without slab/open pit,no,no,41.0,0,2,4
2618,35-39,rural,14,tube well or borehole,20.0,pit latrine without slab/open pit,no,no,41.0,0,0,7
2619,25-29,rural,14,tube well or borehole,20.0,pit latrine without slab/open pit,no,no,41.0,0,0,2
2620,15-19,rural,14,tube well or borehole,20.0,pit latrine without slab/open pit,no,no,41.0,0,0,0
2621,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine without slab/open pit,no,yes,33.0,0,0,4
2622,15-19,rural,3,tube well or borehole,10.0,ventilated improved pit latrine (vip),no,yes,28.0,1,0,2
2623,45-49,rural,5,tube well or borehole,0.0,ventilated improved pit latrine (vip),no,no,38.0,3,1,10
2624,25-29,rural,3,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,26.0,2,1,6
2625,30-34,rural,5,protected well,20.0,ventilated improved pit latrine (vip),no,no,30.0,0,1,4
2626,35-39,rural,7,public tap/standpipe,5.0,pit latrine without slab/open pit,no,no,70.0,0,1,4
2627,35-39,rural,8,protected well,20.0,no facility/bush/field,no,no,45.0,0,0,6
2628,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,35.0,0,0,4
2629,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,no,28.0,1,0,6
2630,15-19,rural,5,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,45.0,0,0,1
2631,20-24,rural,6,tube well or borehole,35.0,pit latrine without slab/open pit,no,no,30.0,1,0,4
2632,30-34,urban,7,protected well,30.0,pit latrine with slab,no,no,71.0,0,1,6
2633,15-19,urban,7,protected well,30.0,pit latrine with slab,no,no,71.0,0,0,0
2634,20-24,urban,5,protected well,25.0,pit latrine with slab,no,yes,28.0,0,0,1
2635,15-19,urban,10,protected well,55.0,pit latrine with slab,no,yes,65.0,0,0,1
2636,25-29,urban,10,protected well,55.0,pit latrine with slab,no,yes,65.0,0,0,4
2637,20-24,urban,10,protected well,55.0,pit latrine with slab,no,yes,65.0,0,0,1
2638,30-34,urban,6,protected well,30.0,pit latrine with slab,no,yes,38.0,0,0,4
2639,15-19,urban,5,tube well or borehole,40.0,pit latrine with slab,no,yes,44.0,0,0,0
2640,15-19,urban,5,tube well or borehole,40.0,pit latrine with slab,no,yes,44.0,0,0,0
2641,15-19,urban,5,tube well or borehole,40.0,pit latrine with slab,no,yes,44.0,0,0,0
2642,30-34,urban,4,protected well,20.0,pit latrine with slab,no,yes,42.0,1,0,5
2643,15-19,urban,4,protected well,20.0,pit latrine with slab,no,yes,42.0,0,0,0
2644,25-29,urban,6,bottled water or sachets,60.0,flush to septic tank,yes,yes,26.0,0,0,1
2645,20-24,urban,6,bottled water or sachets,60.0,flush to septic tank,yes,yes,26.0,0,0,0
2646,30-34,urban,6,bottled water or sachets,60.0,flush to septic tank,yes,yes,26.0,0,0,3
2647,30-34,urban,5,protected well,35.0,pit latrine with slab,yes,yes,39.0,0,0,3
2648,15-19,urban,7,protected well,25.0,flush to septic tank,no,yes,67.0,0,0,0
2649,25-29,urban,5,protected well,45.0,pit latrine with slab,no,yes,35.0,0,0,3
2650,20-24,urban,4,protected well,10.0,pit latrine with slab,no,no,30.0,0,0,1
2651,15-19,urban,4,protected well,10.0,pit latrine with slab,no,no,30.0,0,0,0
2652,25-29,urban,5,tube well or borehole,20.0,pit latrine with slab,no,yes,27.0,0,0,3
2653,25-29,urban,5,tube well or borehole,45.0,pit latrine with slab,no,yes,33.0,1,0,4
2654,25-29,urban,6,protected well,20.0,pit latrine with slab,no,no,35.0,0,0,2
2655,15-19,urban,6,protected well,20.0,pit latrine with slab,no,no,35.0,0,0,0
2656,45-49,urban,5,protected well,45.0,pit latrine with slab,no,yes,48.0,0,0,3
2657,15-19,urban,5,protected well,45.0,pit latrine with slab,no,yes,48.0,0,0,0
2658,20-24,urban,5,protected well,5.0,pit latrine with slab,no,no,30.0,0,0,2
2659,15-19,urban,5,protected well,5.0,pit latrine with slab,no,no,30.0,0,0,0
2660,30-34,urban,9,bottled water or sachets,60.0,flush to septic tank,yes,yes,26.0,0,0,3
2661,15-19,urban,9,bottled water or sachets,60.0,flush to septic tank,yes,yes,26.0,0,0,0
2662,30-34,urban,6,protected well,32.0,pit latrine with slab,no,yes,51.0,0,0,3
2663,15-19,urban,6,protected well,32.0,pit latrine with slab,no,yes,51.0,0,0,0
2664,25-29,urban,5,tube well or borehole,10.0,pit latrine with slab,no,yes,45.0,0,0,3
2665,15-19,urban,5,tube well or borehole,10.0,pit latrine with slab,no,yes,45.0,0,0,0
2666,35-39,urban,7,protected well,10.0,pit latrine with slab,no,yes,55.0,0,0,5
2667,15-19,urban,7,protected well,10.0,pit latrine with slab,no,yes,55.0,0,0,0
2668,45-49,urban,5,protected well,10.0,pit latrine with slab,no,no,70.0,0,0,5
2669,15-19,urban,5,protected well,10.0,pit latrine with slab,no,no,70.0,0,0,0
2670,30-34,urban,7,tube well or borehole,10.0,flush to septic tank,no,yes,57.0,0,0,3
2671,15-19,urban,7,tube well or borehole,10.0,flush to septic tank,no,yes,57.0,0,0,0
2672,20-24,urban,4,protected well,20.0,pit latrine with slab,no,yes,27.0,0,0,1
2673,15-19,urban,4,protected well,20.0,pit latrine with slab,no,yes,27.0,0,0,0
2674,20-24,urban,11,protected well,20.0,pit latrine with slab,no,no,56.0,0,0,0
2675,15-19,urban,11,protected well,20.0,pit latrine with slab,no,no,56.0,0,0,0
2676,35-39,urban,11,protected well,20.0,pit latrine with slab,no,no,56.0,0,1,4
2677,25-29,urban,9,tube well or borehole,75.0,pit latrine with slab,no,yes,68.0,0,0,0
2678,20-24,urban,9,tube well or borehole,75.0,pit latrine with slab,no,yes,68.0,0,0,0
2679,35-39,urban,7,unprotected well,20.0,pit latrine with slab,no,no,42.0,0,0,5
2680,15-19,urban,7,unprotected well,20.0,pit latrine with slab,no,no,42.0,0,0,1
2681,35-39,urban,6,protected well,10.0,pit latrine with slab,no,no,35.0,0,0,2
2682,15-19,urban,6,protected well,10.0,pit latrine with slab,no,no,35.0,0,0,0
2683,15-19,urban,4,protected well,20.0,pit latrine with slab,no,yes,30.0,0,0,0
2684,15-19,urban,4,protected well,20.0,pit latrine with slab,no,yes,30.0,0,0,0
2685,40-44,urban,8,protected well,30.0,pit latrine with slab,no,yes,48.0,0,0,5
2686,15-19,urban,8,protected well,30.0,pit latrine with slab,no,yes,48.0,0,0,0
2687,20-24,urban,8,protected well,30.0,pit latrine with slab,no,yes,48.0,0,0,1
2688,15-19,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,22.0,0,0,1
2689,45-49,rural,5,unprotected spring,6.0,pit latrine without slab/open pit,no,no,47.0,1,4,11
2690,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,0.0,ventilated improved pit latrine (vip),no,no,36.0,0,0,3
2691,40-44,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,35.0,ventilated improved pit latrine (vip),no,no,51.0,2,0,5
2692,15-19,rural,11,unprotected spring,20.0,no facility/bush/field,no,no,65.0,0,0,0
2693,20-24,rural,11,unprotected spring,20.0,no facility/bush/field,no,no,65.0,0,0,0
2694,35-39,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,6
2695,35-39,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,44.0,1,0,7
2696,15-19,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,44.0,0,0,0
2697,25-29,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,44.0,0,0,6
2698,35-39,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,44.0,0,0,1
2699,25-29,rural,4,unprotected spring,5.0,no facility/bush/field,no,yes,35.0,1,2,6
2700,20-24,rural,4,unprotected spring,5.0,pit latrine without slab/open pit,no,no,29.0,2,3,7
2701,20-24,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,84.0,0,0,0
2702,20-24,rural,4,unprotected spring,30.0,pit latrine without slab/open pit,no,no,22.0,0,0,1
2703,15-19,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,22.0,0,0,0
2704,35-39,rural,6,unprotected spring,5.0,pit latrine without slab/open pit,no,no,45.0,0,0,4
2705,35-39,rural,7,unprotected spring,10.0,pit latrine without slab/open pit,no,no,46.0,1,0,8
2706,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,0.0,ventilated improved pit latrine (vip),no,no,41.0,0,0,2
2707,25-29,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,35.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,4
2708,20-24,rural,3,unprotected spring,25.0,pit latrine without slab/open pit,no,yes,35.0,0,0,0
2709,25-29,rural,3,unprotected spring,10.0,pit latrine without slab/open pit,no,no,47.0,1,0,4
2710,20-24,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,28.0,0,0,3
2711,30-34,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,39.0,0,0,5
2712,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,35.0,ventilated improved pit latrine (vip),no,no,33.0,0,0,4
2713,15-19,rural,4,protected well,5.0,ventilated improved pit latrine (vip),no,yes,35.0,1,0,2
2714,15-19,rural,4,protected well,5.0,ventilated improved pit latrine (vip),no,yes,35.0,0,0,0
2715,20-24,rural,5,protected well,5.0,ventilated improved pit latrine (vip),no,yes,52.0,0,0,2
2716,35-39,rural,10,protected well,0.0,flush to pit latrine,no,yes,42.0,0,0,5
2717,40-44,rural,10,protected well,0.0,flush to pit latrine,no,yes,42.0,0,0,2
2718,25-29,rural,3,rainwater,0.0,pit latrine with slab,no,yes,27.0,1,0,2
2719,30-34,rural,6,protected well,0.0,pit latrine without slab/open pit,no,yes,30.0,0,2,4
2720,15-19,rural,6,protected well,0.0,pit latrine without slab/open pit,no,yes,30.0,0,0,0
2721,15-19,rural,4,protected well,30.0,no facility/bush/field,no,no,65.0,0,0,0
2722,20-24,rural,4,protected well,5.0,ventilated improved pit latrine (vip),no,yes,22.0,0,0,2
2723,15-19,rural,7,protected well,25.0,pit latrine without slab/open pit,no,yes,41.0,0,0,0
2724,30-34,rural,7,protected well,25.0,pit latrine without slab/open pit,no,yes,41.0,0,2,4
2725,35-39,rural,7,protected well,20.0,pit latrine with slab,no,yes,68.0,1,2,8
2726,15-19,rural,7,protected well,20.0,pit latrine with slab,no,yes,68.0,0,0,1
2727,35-39,rural,5,rainwater,0.0,pit latrine without slab/open pit,no,yes,39.0,0,0,5
2728,40-44,rural,6,protected well,40.0,no facility/bush/field,no,yes,55.0,1,3,8
2729,15-19,rural,7,protected well,20.0,ventilated improved pit latrine (vip),no,yes,72.0,0,0,0
2730,35-39,rural,6,protected well,45.0,no facility/bush/field,no,yes,35.0,0,1,4
2731,30-34,rural,9,protected well,15.0,ventilated improved pit latrine (vip),no,yes,34.0,1,0,2
2732,30-34,rural,9,protected well,15.0,ventilated improved pit latrine (vip),no,yes,34.0,0,0,2
2733,25-29,rural,9,protected well,15.0,ventilated improved pit latrine (vip),no,yes,34.0,0,0,2
2734,40-44,rural,12,protected well,0.0,pit latrine without slab/open pit,no,yes,56.0,1,0,4
2735,15-19,rural,12,protected well,0.0,pit latrine without slab/open pit,no,yes,56.0,0,0,0
2736,30-34,rural,3,protected well,18.0,ventilated improved pit latrine (vip),no,yes,55.0,0,0,4
2737,30-34,rural,6,protected well,25.0,ventilated improved pit latrine (vip),no,yes,31.0,0,0,4
2738,30-34,rural,6,protected well,25.0,ventilated improved pit latrine (vip),no,yes,31.0,0,0,3
2739,15-19,rural,6,protected well,25.0,ventilated improved pit latrine (vip),no,yes,31.0,0,0,0
2740,35-39,rural,12,protected well,20.0,flush to pit latrine,no,yes,71.0,2,0,4
2741,20-24,rural,12,protected well,20.0,flush to pit latrine,no,yes,71.0,0,0,0
2742,30-34,rural,12,protected well,20.0,flush to pit latrine,no,yes,71.0,0,0,2
2743,15-19,rural,4,protected well,0.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,1
2744,35-39,rural,6,protected well,0.0,pit latrine without slab/open pit,no,yes,35.0,0,0,4
2745,25-29,rural,7,rainwater,0.0,pit latrine without slab/open pit,no,yes,55.0,0,0,2
2746,15-19,rural,6,protected well,0.0,no facility/bush/field,no,yes,51.0,0,0,0
